symbol,network,contract_address
btc,bitcoin,N/A
eth,evm,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
atom,cosmos,N/A
matic,evm,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
dydx,evm,0x92D6C1e31e14520e676a687F0a93788B716BEff5
sol,solana,N/A
avax,evm,0x85f138bfEE4ef8e540890CFb48F620571d67Eda3
bnb,evm,0xb8c77482e45f1f44de1745f52c74426c631bdd52
ape,evm,0x4d224452801ACEd8B2F0aebE155379bb5D594381
op,evm,0x4200000000000000000000000000000000000042
ltc,bitcoin,N/A
arb,evm,0x912CE59144191C1204E64559FE8253a0e49E6548
doge,dogecoin,N/A
inj,cosmos,N/A
sui,sui,N/A
kpepe,evm,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671
crv,evm,0xD533a949740bb3306d119CC777fa900bA034cd52
ldo,evm,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32
link,evm,0x514910771af9ca656af840dff83e8264ecf986ca
stx,stacks,N/A
rndr,evm,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
cfx,conflux,N/A
ftm,evm,0x4e15361fd6b4bb609fa63c81a2be19d873717870
gmx,evm,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a
snx,evm,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F
xrp,xrpl,N/A
bch,bitcoin,N/A
apt,aptos,N/A
aave,evm,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9
comp,evm,0xc00e94Cb662C3520282E6f5717214004A7f26888
mkr,evm,0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2
wld,evm,0x163f8C2467924be0ae7B5347228CABF260318753
fxs,evm,0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0
hpos,evm,0x36F6D831210109719C75A8EACE103188D4E2CBD8
rlb,evm,0x046EeE2cc3188071C02BfC1745A6b17c656e3f3d
unibot,evm,0xf819d9Cb1c2A819Fd991781A822dE3ca8588af3B
ygg,evm,0x25f8087EAD173b73D6e8B84329989A8eEA16CF73
trx,tron,N/A
kshib,evm,0x27C70Cd1946795B66be9d954418546998b546634
uni,evm,0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984
sei,sei,N/A
rune,thorchain,N/A
ox,evm,0x78a0A62Fba6Fb21A83FE8a3433d44C73a4017A6f
friend,evm,0x8C8687fC965593DFb2F4d4fc6b5b1b297B9Cd8C4
shia,evm,0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE
cyber,cyber,N/A
zro,evm,0x6985884C4392D348587B19cb9eAAf157F13271cd
blz,evm,0x5732046A883704404F284Ce41FfADd5b007FD668
dot,polkadot,N/A
banana,evm,0x94e496474F1725f1c1824cB5BDb92d7691A4F03a
trb,evm,0x88dF592F8eb5D7Bd38bFeF7dEb0fBc02cf3778a0
ftt,evm,0x50D1c9771902476076eCFc8B2A83Ad6b9355a4c9
loom,evm,0xA4e8C3Ec456107eA67d3075bF9e3DF3A75823DB0
ogn,evm,0x8207c1FfC5B6804F6024322CcF34F29c3541Ae26
rdnt,evm,0x0C7D5ae016f806603CB1782bEa29AC69471CAb9c
ark,ark,N/A
bnt,evm,0x1F573D6Fb3F13d689FF844B4cE37794d79a7FF1C
canto,canto,N/A
req,evm,0x8f8221aFbB33998d8584A2B05749bA73c37a938a
bigtime,evm,0x64bc2cA1Be492bE7185FAA2c8835d9b824c8a194
kas,kaspa,N/A
orbs,evm,0xff56Cc6b1E6dEd347aA0B7676C85AB0B3D08B0FA
blur,evm,0x5283D291DBCF85356A21bA090E6db59121208b44
tia,celestia,N/A
bsv,bitcoin,N/A
ada,cardano,N/A
ton,ton,N/A
mina,mina,N/A
polyx,evm,0x9992eC3cF6A55b00978cdDF2b27BC6882d88D1eC
gas,evm,0x6Bba316c48b49BD1eAc44573c5c871ff02958469
pendle,evm,0x808507121B80c02388fAd14726482e061B8da827
stg,evm,0xAf5191B0De278C7286d6C7CC6ab6BB8A73bA2Cd6
fet,evm,0x1D287CC25dAD7ccaF76a26bc660c5F7C8E2a05BD
strax,strax,N/A
near,near,N/A
meme,solana,B4HhkSRYoXMFmN4xo7Eb2L4yj6eNhX7qQz1mJ7o4pmp
ordi,bitcoin,N/A
badger,evm,0x3472A5A71965499acd81997a54BBA8D852C6E53d
neo,neo,N/A
zen,zen,N/A
fil,filecoin,N/A
pyth,evm,0x4305FB66699C3B2702D4d05CF36551390A4c69C6
sushi,evm,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2
ilv,evm,0x767FE9EDC9E0dF98E07454847909b5E959D7ca0E
imx,evm,0xF57e7e7C23978C3cAEC3C3548E3D615c346e79fF
kbonk,solana,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263
gmt,evm,0x7Dd9c5Cba05E151C895FDe1CF355C9A1D5DA6429
super,evm,0xe53EC727dbDEB9E2d5456c3be40cFF031AB40A55
ustc,terra,N/A
nfti,evm,0xe5feeaC09D36B18b3FA757E5Cf3F8dA6B8e27F4C
jup,solana,JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN
klunc,evm,0xB2435253C71FcA27bE41206EB2793E44e1Df6b6D
rsr,evm,0x320623b8E4fF03373931769A31Fc52A4E78B5d70
gala,evm,0x15D4c048F83bd7e37d49eA4C83a07267Ec4203dA
jto,solana,jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL
ntrn,neutron,N/A
ace,evm,0x06f3C323f0238c72BF35011071f2b5B7F43A054c
mav,evm,0x7448c7456a97769F6cD04F1E83A4a23cCdC46aBD
wif,solana,EKpQGSJtjMFqKZ9KQanSqYXRcF8fBopzLHYxdM65zcjm
cake,evm,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82
people,evm,0xbb9bc244d798123fde783fcc1c72d3bb8c189413
ens,evm,0xC18360217D8F7Ab5e7c516566761Ea12Ce7F9D72
etc,etc,N/A
xai,evm,0x4Cb9a7AE498CEDcBb5EAe9f25736aE7d428C9D66
manta,manta,N/A
uma,evm,0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828
ondo,evm,0xfAbA6f8e4a5E8Ab82F62fe7C39859FA577269BE3
alt,evm,0x8457CA5040ad67fdebbCC8EdCE889A335Bc0fbFB
zeta,zetachain,N/A
dym,dymension,N/A
mavia,evm,0x24fcFC492C1393274B6bcd568ac9e225BEc93584
